time,left effort,right effort,x accel,y accel,z gyro,left line,right line
215.782,0.5453961,1.488292,26.90201,5.448885,-16395.86,70,32
216.044,0.5414248,1.489478,-10.67399,12.76889,-26405.86,238,204
216.387,0.07596308,1.228594,-67.28199,-91.66312,-6665.856,238,208
216.699,0.4496355,1.519008,-6.28199,11.79289,54.14365,96,0
216.961,0,0,-6.76999,16.18489,-1625.856,30,0
217.269,0.4938785,1.441613,12.26201,22.52888,-4635.856,48,6
217.591,0.4313092,1.585369,16.65401,43.02488,-12335.86,94,0
217.889,0,0,11.77401,6.424885,-295.8564,88,0
218.154,0.4194487,1.620159,9.334011,36.19289,754.1437,88,0
218.412,0.4188248,1.76875,-33.60999,40.58488,-8975.856,82,52
218.722,0,0,-6.28199,23.01688,-645.8563,30,0
219.047,0,0,3.96601,13.74489,-365.8564,22,0
219.3,0,0,-53.61799,80.60088,98964.14,22,0
219.61,0,0,-146.338,-8.215115,90564.14,80,60
219.916,0,0,-4.32999,18.13689,-155.8564,238,182
220.229,0,0,8.358009,13.74489,-15.85635,238,196
220.566,0,0,10.79801,13.74489,-15.85635,238,212
220.879,0,0,10.31001,14.72089,-15.85635,230,176
221.138,0.1548467,0.7225336,14.21401,-11.63111,-5265.856,238,174
221.472,0.2032667,0.7285165,5.918011,249.4489,26934.14,238,194
221.803,0.3558829,0.4428088,-57.03399,-28.22311,85524.14,238,192
222.067,0.8258822,0.3683884,89.36601,-8.703115,12444.14,62,0
222.363,0,0,-36.53799,-87.27112,-1415.856,142,92
222.618,0,0,9.82201,5.936885,54.14365,228,138
222.949,0,0,13.72601,5.448885,54.14365,238,90
223.212,0,0,12.75001,5.936885,-15.85635,222,90
223.465,0,0,3.96601,-10.16712,614.1437,226,90
223.782,0,0,43.49401,102.5609,67604.14,224,200
224.097,0,0,-109.25,-129.7271,31344.14,214,192
224.384,0,0,59.59801,27.40889,-9675.856,214,192
224.689,0,0,26.41401,99.14488,4324.144,214,192
224.98,0,0,41.54201,15.20889,22314.14,214,192
225.272,0,0,-17.99399,8.376885,-645.8563,214,192
225.576,0,0,-119.498,-4.799115,-11775.86,214,192
225.864,0,0,54.23001,79.13689,13634.14,214,192
226.164,0,0,23.97401,-29.68711,-1135.856,214,192
226.452,0,0,70.82201,-106.3031,12304.14,214,192
226.755,0,0,-60.93799,-6.263115,6004.144,214,192
227.083,0,0,-18.48199,-137.5351,15664.14,210,160
227.37,0,0,294.814,74.25688,1384.144,210,160
227.674,0,0,42.51801,33.75288,1384.144,210,160
227.962,0,0,18.60601,16.67289,334.1436,210,160
228.286,0,0,11.28601,-11.63111,124.1436,236,176
228.614,0,0,10.79801,-6.263115,-15.85635,234,176
228.942,0,0,9.82201,-1.871115,-85.85635,234,176
229.268,0,0,10.79801,-3.823115,-15.85635,230,156
229.584,-0.0747489,0.9618906,-6.76999,25.45689,49194.14,236,156
229.84,0,0,18.11801,23.99289,-1835.856,234,216
230.135,0,0,38.12601,-22.36712,-24795.86,238,204
230.454,0,0,11.77401,-6.751115,54.14365,234,194
230.762,0,0,10.79801,-5.287115,-15.85635,238,212
231.027,0,0,9.82201,-6.751115,54.14365,238,202
231.374,0,0,10.31001,-8.703115,-15.85635,238,200
231.698,0.3402865,0.2387261,54.71801,-60.43112,-2115.856,238,204
231.971,0.3730736,0.2835989,-7.74599,-100.4471,2924.144,238,204
232.222,0.3730736,0.2835989,1.526011,-39.44712,4814.144,238,204
232.581,0.3663916,0.2747339,27.39001,2.520885,-4075.856,238,170
232.851,0.3757439,0.2676802,-25.80199,51.32088,-5685.856,238,198
233.196,0.3822094,0.2767074,25.43801,-5.287115,1034.144,238,200
233.535,0.3822094,0.2767074,-5.30599,7.400886,2294.144,238,176
233.811,0.5590515,0.1969065,21.53401,48.39288,5864.144,238,178
234.09,0.5590515,0.1969065,-22.38599,56.68888,-14575.86,238,180
234.414,0.4887395,0.2177526,13.72601,35.70488,-11635.86,238,166
234.679,0,0,12.26201,-25.78312,-18705.86,238,194
234.932,0,0,5.918011,-1.871115,-85.85635,234,156
235.187,0.1905696,0.4146238,6.40601,-5.287115,-15.85635,226,154
235.515,0.2459724,0.4295399,24.46201,-14.55912,12934.14,230,156
235.785,0.3336539,0.3991654,8.358009,28.38488,8314.144,238,198
236.056,0.5935946,0.2868653,-6.28199,-18.95111,-9675.856,238,202
236.38,0,0,28.36601,-2.359115,614.1437,238,200
236.632,0,0,10.31001,-4.311115,-155.8564,238,158
236.954,0,0,7.38201,-2.359115,-15.85635,238,214
237.208,0,0,5.43001,-5.287115,-15.85635,238,208
237.498,0,0,7.38201,-5.775115,-85.85635,238,200
237.799,0,0,3.96601,-4.799115,-15.85635,238,200
238.094,0,0,6.40601,2.032885,-365.8564,218,154
238.435,0,0,11.77401,-3.335115,-155.8564,114,106
238.697,0,0,10.79801,-9.679115,54.14365,116,108
239.012,0,0,8.84601,-3.823115,-15.85635,114,106
239.274,0,0,2.01401,5.936885,-15.85635,116,108
239.617,0,0,-29.21799,5.448885,-225.8564,118,108
239.939,0,0,26.41401,-10.16712,54.14365,118,104
240.262,0,0,7.87001,-4.799115,-15.85635,118,110
240.608,0,0,9.334011,-5.775115,-85.85635,120,108
240.934,0,0,11.28601,-5.287115,-85.85635,122,108
241.2,0,0,6.894011,-2.359115,124.1436,120,104
241.522,0,0,-0.91399,-2.847115,334.1436,120,104
241.788,0,0,18.11801,-8.215115,54.14365,120,96
242.043,0,0,5.43001,-5.287115,54.14365,122,110
242.351,0,0,8.84601,-3.823115,-15.85635,118,108
242.68,0,0,-15.55399,2.520885,124.1436,122,108
243.007,0,0,8.84601,-4.799115,-15.85635,118,106
243.273,0,0,6.40601,-3.335115,-15.85635,118,102
243.525,0,0,7.87001,-2.847115,-15.85635,118,112
243.843,0,0,12.26201,-1.383115,-15.85635,118,110
244.118,0,0,2.50201,0.08088493,-85.85635,118,106
244.434,0,0,8.84601,-4.311115,-15.85635,114,98
244.709,0,0,11.28601,-7.239115,-85.85635,114,106
244.95,0,0,5.918011,-2.359115,-85.85635,120,106
245.302,0,0,20.55801,-7.727115,404.1436,118,108
245.611,0,0,7.87001,5.448885,-85.85635,116,108
245.913,0,0,15.67801,-5.775115,-295.8564,116,106
246.178,0,0,11.77401,-6.263115,-15.85635,118,106
246.431,0,0,4.942011,-3.335115,54.14365,118,110
246.751,0,0,15.19001,-5.287115,-155.8564,118,112
247.052,0,0,4.942011,-3.335115,-85.85635,114,108
247.339,0,0,26.41401,-17.97511,194.1436,114,108
247.624,0,0,25.92601,-12.11911,-295.8564,114,108
247.926,0,0,40.56601,6.424885,-435.8564,114,108
248.217,0,0,-19.94599,-4.311115,-3725.856,114,108
248.525,0,0,22.02201,-1.871115,194.1436,114,108
248.813,0,0,25.43801,4.960885,-155.8564,114,108
249.135,0,0,1.03801,-2.359115,-15.85635,116,106
249.457,0,0,8.358009,0.08088493,-155.8564,118,108
249.784,0,0,4.942011,-4.799115,54.14365,118,106
250.041,0,0,11.28601,-22.85511,-575.8563,116,108
250.387,0,0,4.942011,-3.823115,-365.8564,116,104
250.71,0,0,22.99801,-17.97511,334.1436,118,106
250.969,0,0,-5.79399,-7.727115,-855.8563,118,108
251.256,0,0,9.82201,-3.335115,-15.85635,118,108
251.565,0,0,-134.138,-59.45512,13704.14,118,108
