time,left effort,right effort,x accel,y accel,z gyro
40928,0,0,-1.561064,-6.745724,16.62984
41034,0,0,1.366937,1.062277,16.62984
41139,0,0,-4.001063,6.430277,16.62984
41236,0,0,0.8789368,8.870277,16.62984
41343,0,0,0.8789368,-0.8897228,16.62984
41429,0,0,3.318936,-2.353724,16.62984
41534,0,0,-3.513063,2.526278,16.62984
41628,0,0,-1.561064,2.038277,16.62984
41733,0,0,0.3909369,-4.305723,16.62984
41853,0,0,2.342937,-1.865723,16.62984
41929,0,0,-1.073064,1.062277,86.62984
42034,0,0,0.3909369,2.526278,-53.37016
42133,0,0,2.342937,-2.353724,16.62984
42236,0,0,-2.049064,0.574276,16.62984
42338,0,0,-1.561064,1.550278,16.62984
42440,0,0,-4.001063,-1.377724,16.62984
42529,0,0,0.3909369,2.038277,-53.37016
42633,0,0,0.8789368,3.014277,16.62984
42738,0,0,-1.561064,0.574276,86.62984
42839,0,0,-0.09706306,-0.8897228,-53.37016
42929,0,0,-2.537064,-3.329723,16.62984
43044,0,0,2.830937,0.574276,16.62984
43134,0,0,-2.049064,1.550278,-53.37016
43223,0,0,-0.585063,-0.4017239,16.62984
43343,0,0,1.854937,1.062277,16.62984
43430,0,0,-0.585063,-3.329723,16.62984
43531,0,0,1.366937,2.526278,16.62984
43639,0,0,0.8789368,-0.4017239,16.62984
43742,0,0,0.8789368,2.038277,16.62984
43832,0,0,0.8789368,-0.8897228,16.62984
43926,0,0,-0.09706306,-1.377724,16.62984
44029,0,0,-1.561064,0.08627701,-53.37016
44136,0,0,-1.561064,-1.865723,-53.37016
44233,0,0,-1.561064,-1.865723,16.62984
